City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,srednyaya yelyuzan',53.0241,45.9529,15.05,85,88,3.61,RU,1713755996
252,badger,64.8,-147.5333,7.24,79,60,1.44,US,1713755996
253,ninghai,29.2892,121.4247,15.69,98,100,0.72,CN,1713755996
254,bangor,54.6534,-5.669,6.17,87,95,2.54,GB,1713755997
255,minas de marcona,-15.2119,-75.1103,16.84,83,39,4.2,PE,1713755997
256,sainte-suzanne,-20.9061,55.6089,26.03,81,1,1.36,RE,1713755997
257,la paz centro,12.34,-86.6753,27.52,72,38,0.54,NI,1713755997
258,mugia,43.1041,-9.2179,12.58,57,1,10.87,ES,1713755998
259,kromy,52.6876,35.7667,7.46,78,88,8.33,RU,1713755998
260,nar'yan-mar,67.6713,53.087,-16.32,100,93,1.66,RU,1713755998
261,jalai nur,49.45,117.7,6.55,53,98,9.53,CN,1713755998
262,whakatane,-37.9585,176.9854,19.82,52,7,1.33,NZ,1713755940
263,gadzhiyevo,69.2551,33.3362,-14.31,94,73,4.1,RU,1713755999
264,codrington,-38.2667,141.9667,21.26,29,0,3.44,AU,1713755999
265,inhambane,-23.865,35.3833,21.06,79,0,2.95,MZ,1713755999
266,saudarkrokur,65.7461,-19.6394,2.09,74,46,6.81,IS,1713755999
267,i-n-salah,27.1935,2.4607,23.43,12,0,3.24,DZ,1713756000
268,tudela de duero,41.5845,-4.5809,4.22,80,2,7.71,ES,1713756000
269,sebin karahisar,40.2883,38.4236,8.85,58,5,0.86,TR,1713756000
270,lumphat,13.4878,106.9816,36.09,35,18,2.15,KH,1713756000
271,bamboo flat,11.7,92.7167,32.21,54,47,0.85,IN,1713756000
272,port douglas,-16.4833,145.4667,26.32,63,44,5.57,AU,1713756001
273,lakatoro,-16.0999,167.4164,29.76,74,100,2.45,VU,1713756001
274,south hedland,-20.4089,118.5983,29.86,26,2,5.01,AU,1713756002
275,westport,41.1415,-73.3579,6.12,66,98,3.48,US,1713756002
276,aiquile,-18.2041,-65.1807,15.62,87,100,1.46,BO,1713756002
277,berezovyy,51.6667,135.7,6.97,62,99,1.06,RU,1713756002
278,buka,40.8108,69.1986,21.52,54,100,1.77,UZ,1713756003
279,toledo,39.8333,-4.0,9.07,40,12,2.56,ES,1713756003
280,smithers,54.7804,-127.1743,7.43,62,100,3.44,CA,1713756003
281,bima,-8.4667,118.7167,29.35,82,100,1.37,ID,1713756003
282,weligama,5.9667,80.4167,28.94,75,97,1.88,LK,1713756004
283,pitea,65.3172,21.4794,-8.22,96,86,2.17,SE,1713756004
284,ust'-ilimsk,58.0006,102.6619,3.02,67,95,2.9,RU,1713756004
285,tabas,33.5959,56.9244,24.5,24,48,1.89,IR,1713756004
286,barra do garcas,-15.89,-52.2567,21.95,86,34,0.42,BR,1713756005
287,ronne,55.1009,14.7066,1.0,69,45,7.17,DK,1713756005
288,san fernando,15.0286,120.6898,36.48,36,5,3.03,PH,1713756005
289,wotho,10.1657,166.0102,27.83,78,68,7.8,MH,1713756005
290,poxoreo,-15.8372,-54.3892,23.11,87,76,1.99,BR,1713756006
291,remire-montjoly,4.9167,-52.2667,26.19,87,92,0.83,GF,1713756006
292,niquero,20.0431,-77.5828,24.85,78,6,1.04,CU,1713756006
293,molde,62.7375,7.1591,2.12,68,100,2.45,NO,1713756006
294,vigan,17.5747,120.3869,30.88,61,6,3.79,PH,1713756007
295,ciudad lerdo,25.5333,-103.5333,16.95,70,67,6.61,MX,1713756007
296,newman,37.3138,-121.0208,21.24,57,26,1.85,US,1713756007
297,yarmouth,41.7057,-70.2286,7.67,56,100,4.98,US,1713756007
298,kavalerovo,44.2661,135.0572,8.86,65,100,3.28,RU,1713756008
